121356;8.09
121369;8.77
121382;8.09
121395;8.77
121408;8.09
121421;8.41
121434;9.11
121447;9.79
121460;10.13
121473;10.47
121486;11.15
121499;10.13
121512;10.47
121525;12.17
121538;12.17
121551;12.49
121564;12.84
121577;12.84
121590;14.53
121603;14.53
121616;14.53
121629;14.53
121642;15.88
121655;15.88
121668;15.88
121681;15.88
121694;16.83
121707;16.83
121720;16.83
121733;18.10
121747;19.06
121760;19.06
121773;18.75
121786;19.70
121799;20.64
121812;20.33
121825;21.28
121838;21.93
121851;22.52
121864;23.10
121877;23.68
121890;24.24
121904;25.40
121918;26.55
121932;27.13
121946;27.42
121960;27.71
121974;28.85
121988;29.12
122002;29.89
122016;30.67
122030;30.92
122044;31.70
122058;32.47
122072;34.03
122086;34.80
122101;35.58
122115;36.26
122129;35.80
122143;36.96
122157;39.00
122171;38.56
122185;40.61
122199;40.15
122213;40.61
122227;42.21
122242;42.82
122257;45.03
122272;44.22
122287;46.02
122302;46.02
122317;47.41
122332;48.81
122347;49.35
122362;49.69
122377;50.35
122392;51.22
122407;51.39
122422;51.05
122437;51.05
122452;51.05
122467;51.39
122482;51.39
122497;51.37
122512;51.39
122527;50.88
122542;50.88
122557;51.20
122572;51.22
122587;51.22
122602;51.22
122617;51.22
122632;51.20
122647;51.22
122662;51.22
122677;51.20
122692;50.88
122707;51.20
122722;51.20
122737;50.88
122752;50.86
122767;50.88
122782;50.86