394102;6.17
394114;6.15
394126;5.85
394138;5.53
394150;6.49
394162;6.17
394174;6.80
394186;6.48
394198;7.12
394211;7.77
394224;7.12
394237;7.77
394250;8.09
394263;8.41
394276;8.77
394289;9.11
394302;9.45
394315;9.45
394328;11.15
394341;11.14
394354;10.81
394367;12.15
394380;13.52
394393;13.18
394406;14.21
394419;14.88
394432;14.53
394445;15.22
394458;15.88
394471;16.20
394484;16.83
394497;17.15
394511;18.73
394524;20.01
394537;20.33
394550;21.59
394563;21.91
394576;22.81
394589;22.81
394602;24.53
394616;25.11
394630;25.69
394644;27.13
394658;29.10
394672;28.87
394686;30.41
394700;31.96
394714;32.72
394728;33.51
394743;35.58
394757;37.18
394771;37.18
394785;38.54
394799;39.46
394813;41.29
394828;43.23
394843;43.83
394858;45.81
394873;47.41
394888;49.50
394903;50.35
394918;52.05
394934;53.58
394948;51.54
394964;54.93
394979;54.76
394994;55.11
395009;54.94
395024;54.25
395039;54.25
395054;54.25
395069;54.25
395084;54.60
395099;54.59
395114;54.57
395129;54.08
395144;54.08