1308101;3.91
1308113;4.88
1308125;5.85
1308137;4.22
1308149;5.20
1308161;4.88
1308173;4.23
1308185;6.15
1308197;5.53
1308209;6.15
1308221;5.51
1308233;5.85
1308245;7.45
1308258;7.77
1308271;7.77
1308284;8.09
1308297;8.09
1308310;9.45
1308323;9.11
1308336;10.13
1308349;11.48
1308362;10.81
1308375;11.83
1308388;12.49
1308401;14.88
1308414;13.85
1308427;14.53
1308440;16.20
1308453;16.52
1308466;16.85
1308479;17.15
1308493;18.43
1308506;19.70
1308519;20.01
1308532;20.96
1308545;22.22
1308558;22.24
1308571;23.10
1308584;24.55
1308598;25.11
1308612;26.55
1308626;27.71
1308640;29.63
1308654;29.90
1308668;30.16
1308682;32.22
1308696;33.00
1308710;33.76
1308725;35.80
1308739;36.26
1308753;37.86
1308767;38.78
1308781;39.68
1308795;42.21
1308810;42.43
1308825;44.44
1308840;45.44
1308855;47.21
1308870;48.01
1308885;48.23
1308900;48.82
1308915;49.35
1308930;50.01